Неделя,Казань нижний новгород ржд,Казань Нижний Новгород автобус,Казань Нижний маршрут,Казань Нижний самолет
2019-04-07,0,23,0,0
2019-04-14,0,0,0,0
2019-04-21,0,0,0,0
2019-04-28,0,25,0,0
2019-05-05,0,24,0,0
2019-05-12,0,0,0,0
2019-05-19,0,0,0,0
2019-05-26,0,47,0,0
2019-06-02,0,24,0,0
2019-06-09,0,48,0,0
2019-06-16,0,0,0,0
2019-06-23,0,24,0,0
2019-06-30,0,50,0,0
2019-07-07,0,25,0,0
2019-07-14,0,50,0,0
2019-07-21,0,50,0,0
2019-07-28,0,25,0,0
2019-08-04,0,100,0,0
2019-08-11,0,25,0,0
2019-08-18,0,74,0,0
2019-08-25,0,74,0,0
2019-09-01,0,24,0,0
2019-09-08,0,0,0,0
2019-09-15,0,22,0,0
2019-09-22,0,44,0,0
2019-09-29,0,22,0,0
2019-10-06,0,22,0,0
2019-10-13,0,44,0,0
2019-10-20,0,22,0,0
2019-10-27,0,0,0,0
2019-11-03,0,22,0,0
2019-11-10,0,0,0,0
2019-11-17,0,0,0,0
2019-11-24,0,43,0,0
2019-12-01,0,0,0,0
2019-12-08,0,0,0,0
2019-12-15,0,0,0,0
2019-12-22,0,23,0,0
2019-12-29,0,26,0,0
2020-01-05,0,0,0,0
2020-01-12,0,20,0,0
2020-01-19,0,41,0,0
2020-01-26,0,20,0,0
2020-02-02,0,21,0,0
2020-02-09,0,41,0,0
2020-02-16,0,62,0,0
2020-02-23,0,20,0,0
2020-03-01,0,42,0,0
2020-03-08,0,20,0,0
2020-03-15,0,20,0,0
2020-03-22,0,0,0,0
2020-03-29,0,0,0,0
